initialSupply,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,
id,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,26,,27,,29,,30,,31,,32,
address,0x7e5f14b0910abd7b361d2df7770a5aa3a853ef59,,0x9431992525510a6852E82Fc1fb908daa0fe5fFCB,,0x5ac15459f86b40234886d3a849c5c05350cbc728,,0xB3eb5b872B31Df7baC73472f79b0d4Ac98f2A357,,0x32c18a134ae970ebac5e68a616abd6f8600bf581,,0x502527431B8F5d3cDE71569ea810d19441952B48,,0x57D2F0F2f40ef3acBFfbAd33EBf08E6389A25863,,0x621457D175Ef4f6AA1e8a62D5Ba2C62D62985f58,,0x269237ac2e66a54688bd113230718fd0e2cf0470,,0x2199ff95d6c9c7649724f781d948049f815edd03,,0x5D10F7bbbFB506De47A3e4C16A80b97EB2818b5c,,0x0e7580376ff927fefc5666ec486f1683fd4c5fc7,,0xCed8bfE934FB2C5937a8F65b1217E5e429165309,,0x8a31180c0eabcc747a32aaa3b1edef50e96bfd42,,0x654e0780777e2326193f5cda06a0b4d4dbb3a942,,0x80173fd91dfafce414f58fc44d5683e54bb143dc,
symbol,BRIAN,,GRACE,,KATY,,H3IDI,,ANTIMO,,TED,,TLDR,,SIRSU,,SAM,,PURP,,DANNY,,CAM,,SIMP,,KARO,,CHMQT,,DURKEN,
name,BrianToken,,GraceToken,,KatyToken,,H3idiToken,,AntimoToken,,TedToken,,tldrToken,,SirsuToken,,SamToken,,PurpToken,,Danny,,CameronUnlonelyToken,,SimpUnlonelyToken,,KaroUnlonelyToken,,ChamaquitoUnlonelyToken,,DurkenUnlonelyToken,
price,0.0006,,0.0005,,0.000625,,0.000525,,0.0005,,0.000625,,0.0006,,0.000625,,0.0006,,0.000625,,0.000475,,0.000625,,0.0005,,0.0006,,0.000625,,0.000575,
channelId,3,,15,,9,,5,,20,,27,,17,,25,,21,,37,,29,,32,,49,,48,,44,,43,
,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount
,0xa7860e99e3ce0752d1ac53b974e309fff80277c6,115,,,0x6f25a0dd4c3bd4ef1a89916b3e0162061249885a,5,,,,,0x0964256674e42d61f0ff84097e28f65311786ccb,11,,,,,,,0x583e76ffb9b25129e1b26ca4f7f873dae8093e26,23,,,0xaec8c478446bddc2d022a03c90ca394269342ce2,10,,,,,,,,
,0xec4061eff0032aecc4b3d1187166bd3ae06bf056,115,,,0x7e37c3a9349227b60503ddb1574a76d10c6bc48e,5,,,,,0xaea4a0dedb94ba5b2b8ed9477a8a54379c584542,10,,,,,,,0xd93e1404d732cfea9f7d863c92efe4e408857b7a,23,,,0x794cec5ee2659859050d29d858cf46191649e1fa,10,,,,,,,,
,0x64ff33b653b26edcb4644e27d3720f3c653f8371,101,,,0x5f8b9b4541ecef965424f1db923806aad626add2,5,,,,,0x1adc09fa9a173a13dc5b4e0f85d1edf7a8c10f50,10,,,,,,,0xa7d7ac8fe7e8693b5599c69cc7d4f6226677845b,23,,,0x1a1c37c145a1eab58c43f003ebb55c18083b5987,10,,,,,,,,
,0x32b1c4719496f425726e161e1e33480b68dc79e7,100,,,0xcfb430b30747aae231655052d2c79ea76204291b,4,,,,,0xb6f6dce6000ca88cc936b450cedb16a5c15f157f,10,,,,,,,0x5d0e56f9f5737bd46cbd194d6bb77fb5773b9916,23,,,0x6689b9d1642bb413c74c35eeba13165f755f26fe,10,,,,,,,,
,0x538527f3602acad78596f17b422fcf5613af1409,100,,,0x8ec94086a724cbec4d37097b8792ce99cadcd520,3,,,,,0x61da82d341141dbafc8b536eedb23e7d83496c7c,8,,,,,,,0xb74b4347dffdb17e70e0dd3eb192f498844f56f7,23,,,0x1adc09fa9a173a13dc5b4e0f85d1edf7a8c10f50,10,,,,,,,,
,0x19ce57b670121e73e43be6c2fea5c254bb4c8760,100,,,,,,,,,0xedd3783e8c7c52b80cfbd026a63c207edc9cbee7,5,,,,,,,0x5833869fdeb4d371b854d7474f5f84b43320fd05,23,,,0x179a862703a4adfb29896552df9e307980d19285,10,,,,,,,,
,0xd55ab78034fcb6349830d0cfdfefb6a8051d2685,60,,,,,,,,,0xfe35e15be885750d9b2363cbb6abdd57ac9c4c40,5,,,,,,,0xf8e07d60d9b7651a319eda851d9579590bde12e3,23,,,0xbc3701dc3b342fc9e9bfa92b0aee6f3cbc468de2,10,,,,,,,,
,0x96a77560146501eaeb5e6d5b7d8dd1ed23defa23,60,,,,,,,,,0xb03f5438f9a243de5c3b830b7841ec315034cd5f,2,,,,,,,0x6da0a1784de1abdde1734ba37eca3d560bf044c0,20,,,0xf4844a06d4f995c4c03195afcb5aa59dcbb5b4fc,5,,,,,,,,
,0xf9b14175bbe851085d811bfec9224b6aa97641d9,60,,,,,,,,,0x337839612def7463bf9d64c9887c8e1ffd4c3886,1,,,,,,,0xb7d3a787a39f25457ca511dc3f0591b546f5e02f,16.51209677,,,0x28a69640810fcdcf6adb7119edd64eed4612fa49,5,,,,,,,,
,0xf34196597df209a04fc92b97071dcaabbc63f0e8,50,,,,,,,,,0xe943ca883ef3294e0fc55a1a14591abead1b5927,1,,,,,,,0x19ce57b670121e73e43be6c2fea5c254bb4c8760,12.5,,,0xceed9585854f12f81a0103861b83b995a64ad915,5,,,,,,,,
